Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,58,Male,Dress,Clothing,51,Louisiana,M,White,Winter,4.0,Yes,Express,Yes,Yes,13,Cash,Annually
2,56,Male,Heels,Footwear,73,Louisiana,XL,Gold,Winter,4.4,Yes,Store Pickup,No,No,17,Cash,Fortnightly
3,66,Female,Sweater,Clothing,68,Rhode Island,L,Green,Summer,4.5,No,2-Day Shipping,Yes,Yes,24,Venmo,Annually
4,36,Female,Sandals,Footwear,25,Georgia,M,Violet,Winter,4.6,Yes,Next Day Air,No,No,40,Credit Card,Fortnightly
5,41,Female,Boots,Footwear,29,Florida,M,Olive,Spring,3.7,No,Store Pickup,Yes,Yes,43,Credit Card,Weekly
6,32,Male,Rain Jacket,Outerwear,54,Massachusetts,M,Teal,Spring,4.1,No,Store Pickup,No,Yes,16,Cash,Fortnightly
7,65,Female,Hat,Accessories,71,Hawaii,M,Turquoise,Fall,2.7,Yes,Express,Yes,Yes,40,Cash,Bi-Weekly
8,45,Male,Scarf,Accessories,96,New York,L,Gray,Winter,4.2,No,Store Pickup,No,Yes,18,PayPal,Fortnightly
9,47,Male,Coat,Outerwear,84,Rhode Island,L,Red,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,38,Credit Card,Quarterly
10,19,Male,Parka,Outerwear,50,Maine,M,Black,Winter,4.3,Yes,2-Day Shipping,Yes,Yes,8,Bank Transfer,Quarterly
11,53,Male,Rain Jacket,Outerwear,47,California,M,Violet,Fall,5.0,No,Next Day Air,No,Yes,15,Cash,Weekly
12,39,Male,Heels,Footwear,48,Kentucky,S,Maroon,Spring,2.7,Yes,Standard,Yes,Yes,32,Cash,Monthly
13,60,Female,Heels,Footwear,36,Washington,XL,Olive,Fall,4.5,Yes,Express,Yes,Yes,42,PayPal,Monthly
14,45,Female,Jewelry,Accessories,26,Georgia,S,Maroon,Fall,4.3,Yes,Free Shipping,Yes,Yes,12,Debit Card,Quarterly
15,26,Female,Boots,Footwear,79,Louisiana,S,Lavender,Winter,2.6,Yes,Express,Yes,Yes,10,PayPal,Quarterly
16,48,Male,Handbag,Accessories,41,Delaware,S,Silver,Summer,4.8,No,Standard,No,No,9,Cash,Monthly
17,31,Male,Coat,Clothing,27,Maine,XL,Red,Spring,2.6,Yes,Free Shipping,Yes,Yes,38,Venmo,Bi-Weekly
18,33,Female,Shirt,Clothing,94,Florida,S,Black,Fall,4.1,No,Standard,Yes,Yes,42,Bank Transfer,Monthly
19,33,Female,Sunglasses,Accessories,58,New York,L,Black,Winter,3.6,Yes,Express,Yes,Yes,32,Credit Card,Fortnightly
20,40,Male,Boots,Footwear,56,Wyoming,XL,Violet,Winter,4.2,No,Store Pickup,Yes,Yes,8,Credit Card,Weekly
21,24,Male,Parka,Outerwear,97,Montana,L,Purple,Summer,3.8,No,Express,Yes,Yes,40,PayPal,Monthly
22,20,Male,Coat,Outerwear,53,Wyoming,XL,Charcoal,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,23,Debit Card,Annually
23,27,Female,Sandals,Footwear,59,Hawaii,S,Green,Spring,4.2,Yes,Standard,No,Yes,15,Cash,Fortnightly
24,44,Male,Boots,Footwear,72,Georgia,M,Gold,Spring,4.5,Yes,Next Day Air,Yes,Yes,30,Cash,Fortnightly
25,70,Female,Parka,Outerwear,49,Louisiana,S,Purple,Fall,3.3,Yes,Standard,No,No,43,Debit Card,Monthly
26,19,Male,Coat,Outerwear,94,West Virginia,S,White,Fall,3.4,No,Next Day Air,Yes,Yes,24,Debit Card,Fortnightly
27,34,Male,Handbag,Accessories,86,California,M,Green,Fall,2.7,No,2-Day Shipping,No,Yes,46,Credit Card,Annually
28,37,Female,Rain Jacket,Outerwear,57,California,M,Purple,Fall,4.2,No,Store Pickup,Yes,Yes,39,Debit Card,Monthly
29,43,Male,Parka,Outerwear,46,New Hampshire,L,Lavender,Fall,3.6,Yes,2-Day Shipping,No,Yes,42,Venmo,Monthly
30,50,Female,Shirt,Clothing,59,Louisiana,M,Turquoise,Winter,2.6,No,2-Day Shipping,Yes,Yes,29,PayPal,Bi-Weekly
31,54,Male,Scarf,Accessories,71,Louisiana,M,Gray,Winter,4.4,Yes,Free Shipping,No,Yes,35,Cash,Weekly
32,47,Male,Jewelry,Accessories,87,California,L,Lavender,Fall,4.6,No,Free Shipping,No,No,16,Cash,Bi-Weekly
33,35,Female,Boots,Footwear,76,Massachusetts,L,Olive,Summer,3.3,Yes,Free Shipping,Yes,Yes,14,PayPal,Bi-Weekly
34,27,Male,Skirt,Clothing,72,Arkansas,XL,Charcoal,Winter,3.0,No,Next Day Air,Yes,Yes,48,Debit Card,Quarterly
35,48,Male,Parka,Outerwear,69,New Hampshire,M,Blue,Spring,3.2,No,Express,No,No,42,Bank Transfer,Quarterly
36,64,Male,Sunglasses,Accessories,99,California,S,Silver,Winter,2.7,No,Free Shipping,No,Yes,3,Credit Card,Quarterly
37,38,Male,Belt,Accessories,63,Arizona,XL,Gold,Fall,3.1,Yes,Next Day Air,Yes,Yes,47,Debit Card,Weekly
38,40,Male,Blouse,Clothing,23,Louisiana,M,Gray,Spring,3.1,No,Store Pickup,Yes,Yes,36,Cash,Quarterly
39,62,Female,Coat,Outerwear,97,Florida,S,Pink,Summer,2.8,Yes,Standard,No,No,45,Cash,Weekly
40,55,Male,Dress,Clothing,96,Rhode Island,S,Green,Fall,4.2,Yes,2-Day Shipping,No,Yes,26,PayPal,Weekly
41,45,Female,Jewelry,Accessories,39,New Hampshire,M,Red,Summer,4.0,No,Next Day Air,No,No,20,Cash,Weekly
